Name,Pos,Team,GP,G,A,PTS,Pts/G,PPG,PPA,GWG
Ty Collins,RW,Mississauga Steelheads,33,8,14,22,0.67,0,5,0
Pano Fimis,C,Niagara IceDogs,31,6,16,22,0.71,3,3,0
Ryan Gagnier,C,Oshawa Generals,31,11,10,21,0.68,2,1,1
Reid Valade,LW,Kitchener Rangers,32,10,11,21,0.66,1,3,0
Josh Currie (total),LW,Windsor Spitfires,35,9,12,21,0.6,2,2,1
Calem Mangone,RW,Saginaw Spirit,35,9,12,21,0.6,1,2,2
Jack Matier,D,Ottawa 67's,36,7,14,21,0.58,4,10,0
Gavin Hayes,RW,Flint Firebirds,32,9,11,20,0.63,2,2,2
Aidan Castle,RW,Niagara IceDogs,31,8,12,20,0.65,3,3,1
Stuart Rolofs (total),LW,Oshawa Generals,28,7,13,20,0.71,3,4,0
Paul Ludwinski,C,Kingston Frontenacs,32,7,13,20,0.63,1,2,3
Max McCue,LW,London Knights,31,6,14,20,0.65,1,1,2
Ryan Del Monte,C,Barrie Colts,29,4,16,20,0.69,2,6,0
Mitchell Martin,LW,Kitchener Rangers,31,10,9,19,0.61,4,2,3
Theo Hill,C,Sarnia Sting,32,10,9,19,0.59,0,2,1
Brady Stonehouse,RW,Ottawa 67's,37,10,9,19,0.51,3,1,0
Mark Duarte,RW,Hamilton Bulldogs,33,9,10,19,0.58,1,1,1
Sahil Panwar,LW,Flint Firebirds,24,8,11,19,0.79,3,4,2
Ethan Miedema,C,Windsor Spitfires,31,8,11,19,0.61,1,0,1
Nick DeGrazia,C,Sudbury Wolves,35,8,11,19,0.54,1,1,1
Arber Xhekaj (total),D,Hamilton Bulldogs,20,7,12,19,0.95,2,2,0
Gavin Bryant,C,Owen Sound Attack,28,7,12,19,0.68,0,1,0
Ruslan Gazizov,C,London Knights,23,5,14,19,0.83,0,6,1
Matthew Soto,RW,Kingston Frontenacs,30,5,14,19,0.63,0,3,1
Michael Buchinger,D,Guelph Storm,32,2,17,19,0.59,0,7,0
Jake Murray,D,Kingston Frontenacs,32,1,18,19,0.59,0,3,0
Brendan Hoffmann,C,Erie Otters,29,12,6,18,0.62,5,2,2
Nicholas Porco (total),LW,Owen Sound Attack,27,11,7,18,0.67,3,3,1
Hunter Haight,C,Barrie Colts,28,10,8,18,0.64,1,2,1
Brendan Sellan,LW,Erie Otters,32,10,8,18,0.56,5,1,3
Camaryn Baber (total),C,London Knights,31,9,9,18,0.58,1,1,1
Jake Uberti (total),C,Mississauga Steelheads,25,8,10,18,0.72,5,3,1
Liam Arnsby,C,North Bay Battalion,32,8,10,18,0.56,3,1,0
Roberto Mancini,D,Saginaw Spirit,34,8,10,18,0.53,0,2,0
Lawson Sherk,C,Hamilton Bulldogs,29,7,11,18,0.62,2,3,1
Ryan Abraham,C,Windsor Spitfires,31,5,13,18,0.58,0,3,0
Max Namestnikov,C,Sarnia Sting,32,4,14,18,0.56,0,5,2
Mitchell Smith,D,Saginaw Spirit,35,4,14,18,0.51,1,6,0
Braeden Bowman,RW,Guelph Storm,24,13,4,17,0.71,4,0,3
Colton Smith,LW,London Knights,30,12,5,17,0.57,8,4,1
Jack Beck,LW,Ottawa 67's,12,11,6,17,1.42,2,5,3
Maddox Callens,LW,Kingston Frontenacs,31,11,6,17,0.55,2,2,0
Roman Schmidt,D,Kitchener Rangers,32,8,9,17,0.53,3,2,0
Colby Saganiuk,C,Erie Otters,29,7,10,17,0.59,1,2,0
Luke Misa,C,Mississauga Steelheads,31,4,13,17,0.55,0,2,0
Jacob Holmes (total),D,Sudbury Wolves,38,3,14,17,0.45,0,4,0
Rodwin Dionicio,D,Niagara IceDogs,31,2,15,17,0.55,1,8,0
Nick Wong,RW,Saginaw Spirit,32,12,4,16,0.5,1,0,1
Marco Mignosa,RW,Soo Greyhounds,36,9,7,16,0.44,1,0,0
Tag Bertuzzi,C,Flint Firebirds,32,8,8,16,0.5,0,0,2
Ryan Mast,D,Sarnia Sting,30,6,10,16,0.53,1,4,3
Kasper Larsen,D,Mississauga Steelheads,26,2,14,16,0.62,0,5,1
Colby Barlow,C,Owen Sound Attack,24,11,4,15,0.63,1,1,2
Dalyn Wakely,C,North Bay Battalion,38,10,5,15,0.39,2,1,0
Carson Rehkopf,C,Kitchener Rangers,31,9,6,15,0.48,1,0,1
Tyler Savard,LW,Soo Greyhounds,25,6,9,15,0.6,1,2,0
Luca D'Amato,D,Flint Firebirds,34,5,10,15,0.44,2,2,1
Liam Ross,D,Sudbury Wolves,37,5,10,15,0.41,0,1,1
Brian Zanetti,D,Peterborough Petes,26,2,13,15,0.58,1,8,0
Mason McTavish (total),C,Hamilton Bulldogs,8,9,5,14,1.75,0,2,1
Thomas Johnston,LW,Ottawa 67's,26,9,5,14,0.54,1,0,1
Valentin Zhugin,LW,Guelph Storm,29,8,6,14,0.48,0,1,0
Sam Alfano,RW,Peterborough Petes,33,8,6,14,0.42,4,1,1
William Portokalis (total),C,Owen Sound Attack,31,7,7,14,0.45,1,0,0
Luca Pinelli,C,Ottawa 67's,28,6,8,14,0.5,1,2,0
Zander Veccia,RW,Mississauga Steelheads,36,6,8,14,0.39,2,1,0
Dawson McKinney,RW,Oshawa Generals,28,5,9,14,0.5,0,1,2
Marc Boudreau (total),LW,Sudbury Wolves,40,5,9,14,0.35,1,1,1
Luka Profaca,D,Guelph Storm,32,4,10,14,0.44,0,2,0
Spencer Sova,D,Erie Otters,34,4,10,14,0.41,2,6,0
Ben McFarlane,RW,Guelph Storm,30,7,6,13,0.43,1,0,1
Brayden Guy (total),LW,Guelph Storm,26,6,7,13,0.5,0,4,0
Cooper Matthews,RW,Barrie Colts,32,6,7,13,0.41,2,3,1
Braeden Kressler,C,Flint Firebirds,23,5,8,13,0.57,2,0,1
Cam Allen,D,Guelph Storm,29,5,8,13,0.45,3,4,0
Gerard Keane,D,London Knights,32,5,8,13,0.41,1,2,0
Thomas Chafe,RW,Owen Sound Attack,33,4,9,13,0.39,1,0,0
Landon McCallum,C,Sudbury Wolves,36,4,9,13,0.36,1,1,2
Chas Sharpe,D,Mississauga Steelheads,33,3,10,13,0.39,0,4,1
Anthony Costantini,D,Ottawa 67's,36,2,11,13,0.36,1,5,0
Brice Cooke,LW,Niagara IceDogs,31,6,6,12,0.39,3,2,2
Daniel Michaud (total),C,Niagara IceDogs,32,5,7,12,0.38,1,2,0
Marko Sikic (total),RW,Sarnia Sting,34,5,7,12,0.35,1,0,0
Charlie Callaghan,D,Mississauga Steelheads,37,5,7,12,0.32,1,2,2
Justin Cloutier,RW,Soo Greyhounds,37,5,7,12,0.32,1,1,0
Dakota Betts,D,Niagara IceDogs,26,4,8,12,0.46,1,2,1
Matthew Sop,LW,Kitchener Rangers,31,4,8,12,0.39,0,1,0
Justin Nolet,D,Kitchener Rangers,32,4,8,12,0.38,2,4,1
Jorian Donovan,D,Hamilton Bulldogs,33,3,9,12,0.36,0,2,0
Ethan Hay,C,Flint Firebirds,34,3,9,12,0.35,1,0,0
Isaac Enright,D,Niagara IceDogs,30,2,10,12,0.4,0,5,0
Dmitry Kuzmin,D,Flint Firebirds,24,1,11,12,0.5,0,1,0
Sam Sedley,D,Owen Sound Attack,32,1,11,12,0.38,0,4,0
Liam Van Loon (total),LW,Niagara IceDogs,19,9,2,11,0.58,0,1,0
Ethan Larmand,C,Sudbury Wolves,37,8,3,11,0.3,2,0,0
Liam Gilmartin,LW,London Knights,26,5,6,11,0.42,0,1,0
Keegan McMullen (total),LW,Soo Greyhounds,31,5,6,11,0.35,1,0,2
Logan LeSage,LW,Owen Sound Attack,24,4,7,11,0.46,0,1,0
Michael Renwick,D,Windsor Spitfires,33,4,7,11,0.33,0,0,0
Sebastien Gervais,LW,Saginaw Spirit,34,4,7,11,0.32,0,0,0
Dylan Robinson (total),D,Sudbury Wolves,22,3,8,11,0.5,1,5,0
Jax Dubois,C,Peterborough Petes,28,3,8,11,0.39,0,1,0
Tnias Mathurin,D,North Bay Battalion,30,2,9,11,0.37,0,0,0
Isaiah George,D,London Knights,32,2,9,11,0.34,0,1,1
Alex Assadourian,LW,Sudbury Wolves,36,2,9,11,0.31,0,0,0
Daniil Sobolev,D,Windsor Spitfires,28,1,10,11,0.39,0,2,0
Connor Toms,D,Soo Greyhounds,33,1,10,11,0.33,0,0,0
Chandler Romeo (total),D,Sarnia Sting,35,1,10,11,0.31,0,0,0
Brody Crane,LW,London Knights,28,5,5,10,0.36,1,1,0
Justin DeZoete,RW,Peterborough Petes,31,5,5,10,0.32,3,1,0
Evan Klein,LW,Saginaw Spirit,32,5,5,10,0.31,0,1,0
Cooper Walker,C,Guelph Storm,32,5,5,10,0.31,1,0,2
Jacob Maillet (total),C,Windsor Spitfires,35,4,6,10,0.29,0,0,1
Owen Van Steensel,LW,North Bay Battalion,37,4,6,10,0.27,1,0,1
Adam Varga,RW,Ottawa 67's,21,3,7,10,0.48,0,1,0
Dylan Roobroeck,LW,Niagara IceDogs,27,3,7,10,0.37,1,0,0
Ole Bjorgvik-Holm,D,Mississauga Steelheads,28,3,7,10,0.36,1,2,0
Cameron Mercer,C,Kitchener Rangers,31,3,7,10,0.32,1,0,0
Ashton Reesor (total),D,Guelph Storm,28,1,9,10,0.36,0,0,0
Avery Winslow,D,North Bay Battalion,38,1,9,10,0.26,0,2,0
Cole Brown,RW,Hamilton Bulldogs,22,6,3,9,0.41,1,0,0
Alex Christopoulos (total),RW,Windsor Spitfires,35,5,4,9,0.26,0,0,1
Jacob Frasca,C,Barrie Colts,26,4,5,9,0.35,2,0,0
Zack Terry,D,Flint Firebirds,35,4,5,9,0.26,0,0,0
Ty Petrou,C,Flint Firebirds,30,3,6,9,0.3,0,1,1
Nikita Parfenyuk,D,Oshawa Generals,22,2,7,9,0.41,0,0,0
David Jesus,D,Oshawa Generals,30,2,7,9,0.3,1,0,0
Cameron Morton,D,Erie Otters,31,2,7,9,0.29,0,0,0
Chris Grisolia,C,Barrie Colts,32,2,7,9,0.28,0,0,0
Landon Cato,D,Niagara IceDogs,30,1,8,9,0.3,0,7,0
Pacey Schlueting,D,Saginaw Spirit,33,1,8,9,0.27,0,0,0
Grayson Ladd (total),D,North Bay Battalion,34,1,8,9,0.26,0,2,0
Colton Kammerer,D,Hamilton Bulldogs,21,0,9,9,0.43,0,0,0
Donovan McCoy,D,Peterborough Petes,31,0,9,9,0.29,0,1,0
Navrin Mutter (total),LW,Kitchener Rangers,27,6,2,8,0.3,1,1,2
Jonathan Melee (total),C,Peterborough Petes,32,6,2,8,0.25,1,0,1
Ethan Keppen,LW,Flint Firebirds,9,5,3,8,0.89,0,1,0
Landon Sim,C,London Knights,30,5,3,8,0.27,0,1,2
Carey Terrance,C,Erie Otters,28,4,4,8,0.29,1,1,2
Christopher Thibodeau,C,Kingston Frontenacs,28,4,4,8,0.29,1,0,0
Logan Mailloux,D,London Knights,6,3,5,8,1.33,2,2,0
Max Dodig,LW,Mississauga Steelheads,20,3,5,8,0.4,0,0,0
Nolan Seed,D,Owen Sound Attack,21,3,5,8,0.38,1,1,0
Nathan Ribau (total),D,Windsor Spitfires,35,3,5,8,0.23,0,0,1
Ryan Winterton,C,Hamilton Bulldogs,4,2,6,8,2,1,1,0
Ian Phillips,LW,Saginaw Spirit,26,2,6,8,0.31,0,0,1
Owain Johnston,D,Erie Otters,30,2,6,8,0.27,0,0,0
Patrick Thomas,C,Hamilton Bulldogs,30,2,6,8,0.27,0,0,0
Julian Fantino,RW,Owen Sound Attack,32,2,6,8,0.25,0,1,1
Paul Christopoulos,D,North Bay Battalion,34,2,6,8,0.24,0,0,0
PJ Forgione,D,Saginaw Spirit,35,2,6,8,0.23,0,0,0
Justin O'Donnell (total),C,Saginaw Spirit,35,2,6,8,0.23,1,0,0
Andrew LeBlanc,C,Kitchener Rangers,26,1,7,8,0.31,0,3,0
Cameron Supryka (total),D,Guelph Storm,28,1,7,8,0.29,0,0,0
Tristan Bertucci,D,Flint Firebirds,30,1,7,8,0.27,0,1,0
Jacob LeBlanc,D,Kitchener Rangers,32,1,7,8,0.25,0,0,1
Teddy Sawyer,D,Ottawa 67's,32,1,7,8,0.25,0,0,0
Thomas Sirman,D,Ottawa 67's,32,1,7,8,0.25,0,1,1
Ranvir Gill-Shane,D,Ottawa 67's,27,0,8,8,0.3,0,0,0
Kai Schwindt,LW,Mississauga Steelheads,37,7,0,7,0.19,1,0,0
