Name,Pos,Team,GP,G,A,PTS,Pts/G,PPG,PPA,GWG
James Petrovski,D,Flint Firebirds,25,0,4,4,0.16,0,0,0
Brett Brochu,G,London Knights,27,0,4,4,0.15,0,3,0
Kaleb Smith,C,Erie Otters,31,0,4,4,0.13,0,0,0
James Jodoin,D,Windsor Spitfires,20,3,0,3,0.15,0,0,0
Chase Coughlan,RW,Guelph Storm,15,2,1,3,0.2,0,0,0
Josh Kavanagh,D,Peterborough Petes,19,2,1,3,0.16,1,0,0
Matthew Sredl,D,Barrie Colts,19,2,1,3,0.16,0,0,0
Ethan Montroy,LW,Soo Greyhounds,20,2,1,3,0.15,0,0,0
Juan Copeland,LW,Niagara IceDogs,21,2,1,3,0.14,0,0,0
Ryan Gagner,C,Peterborough Petes,27,2,1,3,0.11,0,0,0
Matthew Mayich,D,Ottawa 67's,29,2,1,3,0.1,0,0,0
Ryan McGuire,LW,Guelph Storm,15,1,2,3,0.2,0,0,0
Ryan Thompson,D,Erie Otters,19,1,2,3,0.16,0,0,0
Landen Hookey,RW,Soo Greyhounds,20,1,2,3,0.15,0,0,0
Charlie Paquette,RW,Guelph Storm,21,1,2,3,0.14,0,0,0
Avval Baisov,LW,Windsor Spitfires,22,1,2,3,0.14,0,0,0
Oliver Peer,RW,Windsor Spitfires,23,1,2,3,0.13,1,0,0
Matthew Mania,D,Sudbury Wolves,24,1,2,3,0.13,0,0,0
Nathan Poole,C,Kingston Frontenacs,25,1,2,3,0.12,0,0,0
Jackson Stewart,LW,Kingston Frontenacs,26,1,2,3,0.12,0,0,0
James Guo,D,Peterborough Petes,29,1,2,3,0.1,0,0,0
Braden Haché,D,Kingston Frontenacs,33,1,2,3,0.09,0,0,0
Michael Stubbs,C,Mississauga Steelheads,34,1,2,3,0.09,0,0,0
Cooper Foster,C,Ottawa 67's,11,0,3,3,0.27,0,0,0
Artem Guryev,D,Peterborough Petes,12,0,3,3,0.25,0,1,0
Josh Rosenzweig,G,Niagara IceDogs,14,0,3,3,0.21,0,2,0
Wylie Birkett,LW,Windsor Spitfires,16,0,3,3,0.19,0,0,0
Cedricson Okitundu,D,Owen Sound Attack,19,0,3,3,0.16,0,0,0
Jackson Edward,D,London Knights,22,0,3,3,0.14,0,2,0
Madden Steen,D,Owen Sound Attack,23,0,3,3,0.13,0,0,0
Ryan Pryce,D,Sarnia Sting,25,0,3,3,0.12,0,0,0
Nathan Sauder,D,Erie Otters,28,0,3,3,0.11,0,0,0
Ben Bujold,C,London Knights,29,0,3,3,0.1,0,0,0
Steven Laforme,C,Ottawa 67's,29,0,3,3,0.1,0,0,0
Simon Slavicek,LW,Flint Firebirds,11,1,1,2,0.18,0,0,1
Ty Anselmini (total),LW,Soo Greyhounds,19,1,1,2,0.11,0,0,0
Josh Vogelsberg,LW,Sarnia Sting,19,1,1,2,0.11,0,0,0
Shawn Spearing,D,Peterborough Petes,20,1,1,2,0.1,0,1,0
Andrew Whitton,RW,Oshawa Generals,20,1,1,2,0.1,0,0,0
Andrew Wycisk,D,Niagara IceDogs,24,1,1,2,0.08,0,0,0
Zach Filak,C,Sarnia Sting,26,1,1,2,0.08,0,0,0
Bryce Montgomery,D,London Knights,27,1,1,2,0.07,0,0,0
Trent Swick,LW,Kitchener Rangers,29,1,1,2,0.07,0,0,0
Alexander Lukin,D,North Bay Battalion,36,1,1,2,0.06,0,0,0
Noah Roberts,D,Hamilton Bulldogs,8,0,2,2,0.25,0,0,0
Vladislav Dvurechenskii,LW,Barrie Colts,11,0,2,2,0.18,0,0,0
Brayden Hislop,D,Saginaw Spirit,14,0,2,2,0.14,0,0,0
Noah Nelson,C,Hamilton Bulldogs,15,0,2,2,0.13,0,0,0
Taos Jordan,D,Owen Sound Attack,24,0,2,2,0.08,0,0,0
Matthew Andonovski,D,Kitchener Rangers,25,0,2,2,0.08,0,0,0
Connor Punnett,D,Barrie Colts,28,0,2,2,0.07,0,0,0
Lucas Ross,LW,Erie Otters,28,0,2,2,0.07,0,0,0
Will Cranley,G,Ottawa 67's,29,0,2,2,0.07,0,0,0
Gavin Ewles,D,Ottawa 67's,1,1,0,1,1,0,0,0
Ben Pickell,C,Barrie Colts,4,1,0,1,0.25,0,0,0
Easton Wainwright,C,Sarnia Sting,7,1,0,1,0.14,0,0,0
Abakar Kazbekov,C,London Knights,9,1,0,1,0.11,0,0,1
Quinton Pagé,LW,Peterborough Petes,10,1,0,1,0.1,0,0,1
Brenden Anderson,C,Hamilton Bulldogs,11,1,0,1,0.09,0,0,0
Jordyn Ertel,C,Oshawa Generals,14,1,0,1,0.07,0,0,0
Cam Gauvreau,D,North Bay Battalion,22,1,0,1,0.05,0,0,0
Artem Grushnikov,D,Hamilton Bulldogs,22,1,0,1,0.05,0,0,1
Paul Hughes,RW,Kingston Frontenacs,22,1,0,1,0.05,0,0,0
Zack Lewis,RW,Peterborough Petes,26,1,0,1,0.04,0,0,0
Noah Van Vliet,D,Hamilton Bulldogs,1,0,1,1,1,0,0,0
Braeden O'Keefe,LW,Hamilton Bulldogs,4,0,1,1,0.25,0,0,0
Grayson Tiller,D,Barrie Colts,10,0,1,1,0.1,0,0,0
Charlie Fink,RW,Saginaw Spirit,13,0,1,1,0.08,0,0,0
Dom DiVincentiis,G,North Bay Battalion,14,0,1,1,0.07,0,0,0
George Alboim,D,Erie Otters,16,0,1,1,0.06,0,0,0
Gage Heyes,RW,Kingston Frontenacs,16,0,1,1,0.06,0,0,0
Artyom Kulakov,D,Erie Otters,17,0,1,1,0.06,0,0,0
Michael MacLean,D,Flint Firebirds,18,0,1,1,0.06,0,0,0
Ethan MacKinnon,D,London Knights,20,0,1,1,0.05,0,0,0
Mack Guzda (total),G,Barrie Colts,23,0,1,1,0.04,0,0,0
Patrick Leaver,G,Oshawa Generals,24,0,1,1,0.04,0,1,0
Blake Smith,D,Oshawa Generals,24,0,1,1,0.04,0,0,0
Quinton Burns,D,Kingston Frontenacs,25,0,1,1,0.04,0,0,0
Tucker Tynan (total),G,Soo Greyhounds,25,0,1,1,0.04,0,1,0
Chris Barlas,C,Ottawa 67's,26,0,1,1,0.04,0,0,0
Callum Chisholm,LW,Mississauga Steelheads,27,0,1,1,0.04,0,1,0
Anthony Romani,RW,North Bay Battalion,28,0,1,1,0.04,0,0,0
Joe Vrbetic,G,North Bay Battalion,28,0,1,1,0.04,0,1,0
Mitchell Weeks,G,Sudbury Wolves,30,0,1,1,0.03,0,1,0
Carter Bickle,G,Oshawa Generals,1,0,0,0,0,0,0,0
Nathaniel Day,G,Flint Firebirds,1,0,0,0,0,0,0,0
Zackary Sandhu,D,Guelph Storm,1,0,0,0,0,0,0,0
Brett Fullerton,G,Saginaw Spirit,2,0,0,0,0,0,0,0
Kaleb Lawrence,LW,Owen Sound Attack,2,0,0,0,0,0,0,0
Adrian Misaljevic,C,Kitchener Rangers,2,0,0,0,0,0,0,0
Liam Sztuska,G,Peterborough Petes,2,0,0,0,0,0,0,0
